date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
1995-01-02,Tunisia,Egypt,2,0,Friendly,,Tunisia,False,Tunisia,Egypt,home_win
1995-01-06,Nigeria,Japan,3,0,Intercontinental Champ,,Saudi Arabia,True,Nigeria,Japan,home_win
1995-01-06,Saudi Arabia,Mexico,0,2,Intercontinental Champ,,Saudi Arabia,False,Saudi Arabia,Mexico,away_win
1995-01-07,Senegal,Tunisia,0,0,African Nations Cup qualifier,,Senegal,False,Senegal,Tunisia,draw
1995-01-08,Algeria,Egypt,1,0,African Nations Cup qualifier,,Algeria,False,Algeria,Egypt,home_win
1995-01-08,Saudi Arabia,Denmark,0,2,Intercontinental Champ,,Saudi Arabia,False,Saudi Arabia,Denmark,away_win
1995-01-08,Argentina,Japan,5,1,Intercontinental Champ,,Saudi Arabia,True,Argentina,Japan,home_win
1995-01-10,Argentina,Nigeria,0,0,Intercontinental Champ,,Saudi Arabia,True,Argentina,Nigeria,draw
1995-01-10,Denmark,Mexico,1,1,Intercontinental Champ,,Saudi Arabia,True,Denmark,Mexico,draw
1995-01-13,Mexico,Nigeria,1,1,Intercontinental Champ,,Saudi Arabia,True,Mexico,Nigeria,draw
1995-01-13,Denmark,Argentina,2,0,Intercontinental Champ,,Saudi Arabia,True,Denmark,Argentina,home_win
1995-01-15,Ivory Coast,Togo,0,0,Friendly,,Ivory Coast,False,Côte d'Ivoire,Togo,draw
1995-01-18,Spain,Uruguay,2,2,Friendly,,Spain,False,Spain,Uruguay,draw
1995-01-18,Netherlands,France,0,1,Friendly,,Netherlands,False,Netherlands,France,away_win
1995-01-21,Uganda,Egypt,0,0,African Nations Cup qualifier,,Uganda,False,Uganda,Egypt,draw
1995-01-21,Tanzania,Algeria,2,1,African Nations Cup qualifier,,Tanzania,False,Tanzania,Algeria,home_win
1995-01-22,Ghana,Congo,3,1,African Nations Cup qualifier,,Ghana,False,Ghana,Congo,home_win
1995-01-22,Ivory Coast,Burkina Faso,2,2,African Nations Cup qualifier,,Ivory Coast,False,Côte d'Ivoire,Burkina Faso,draw
1995-01-22,Liberia,Senegal,1,1,African Nations Cup qualifier,,Liberia,False,Liberia,Senegal,draw
1995-01-24,United Arab Emirates,Japan,1,1,Friendly,,United Arab Emirates,False,United Arab Emirates,Japan,draw
1995-01-26,Canada,Portugal,1,1,Friendly tournament,,Canada,False,Canada,Portugal,draw
1995-01-29,Tunisia,Mauritania,1,0,African Nations Cup qualifier,,Tunisia,False,Tunisia,Mauritania,home_win
1995-01-31,South Korea,Colombia,1,0,Friendly tournament,,Hong Kong,True,Korea Republic,Colombia,home_win
1995-02-01,Mexico,Uruguay,1,0,Friendly,,United States,True,Mexico,Uruguay,home_win
1995-02-04,Yugoslavia,South Korea,1,0,Friendly tournament,,Hong Kong,True,Yugoslavia,Korea Republic,home_win
1995-02-06,Norway,Estonia,7,0,Friendly,,Cyprus,True,Norway,Estonia,home_win
1995-02-08,Cyprus,Norway,0,2,Friendly,,Cyprus,False,Cyprus,Norway,away_win
1995-02-08,Australia,Colombia,0,0,Friendly,,Australia,False,Australia,Colombia,draw
1995-02-10,Tunisia,Liberia,0,0,African Nations Cup qualifier,,Tunisia,False,Tunisia,Liberia,draw
1995-02-11,Australia,Colombia,0,1,Friendly,,Australia,False,Australia,Colombia,away_win
1995-02-14,Argentina,Bulgaria,4,1,Friendly,,Argentina,False,Argentina,Bulgaria,home_win
1995-02-15,Australia,Japan,2,1,Friendly,,Australia,False,Australia,Japan,home_win
1995-02-15,Ireland,England,1,0,Friendly,,Ireland,False,Ireland,England,home_win
1995-02-19,China,South Korea,0,0,Dynasty Cup,,Hong Kong,True,China,Korea Republic,draw
1995-02-21,Japan,South Korea,1,1,Dynasty Cup,,Hong Kong,True,Japan,Korea Republic,draw
1995-02-22,Spain,Germany,0,0,Friendly,,Spain,False,Spain,Germany,draw
1995-02-22,Brazil,Slovakia,5,0,Friendly,,Brazil,False,Brazil,Slovakia,home_win
1995-02-22,Netherlands,Portugal,0,1,Friendly,,Netherlands,False,Netherlands,Portugal,away_win
1995-02-23,Japan,China,2,1,Dynasty Cup,,Hong Kong,True,Japan,China,home_win
1995-02-26,Japan,South Korea,2,2,Dynasty Cup,,Hong Kong,True,Japan,Korea Republic,draw
1995-03-01,Morocco,Senegal,2,0,Friendly,,Morocco,False,Morocco,Senegal,home_win
1995-03-08,Greece,Switzerland,1,1,Friendly,,Greece,False,Greece,Switzerland,draw
1995-03-22,Colombia,Uruguay,2,1,Friendly,,Colombia,False,Colombia,Uruguay,home_win
1995-03-23,Morocco,Mali,3,0,Friendly,,Morocco,False,Morocco,Mali,home_win
1995-03-25,United States,Uruguay,2,2,Friendly,,United States,False,USA,Uruguay,draw
1995-03-25,Croatia,Ukraine,4,0,European Championship qual,,Croatia,False,Croatia,Ukraine,home_win
1995-03-26,Lebanon,Egypt,1,1,Friendly,,Lebanon,False,Lebanon,Egypt,draw
1995-03-29,Russia,Scotland,0,0,European Championship qual,,Russia,False,Russia,Scotland,draw
1995-03-29,Hungary,Switzerland,2,2,European Championship qual,,Hungary,False,Hungary,Switzerland,draw
1995-03-29,Austria,Latvia,5,0,European Championship qual,,Austria,False,Austria,Latvia,home_win
1995-03-29,Chile,Mexico,2,1,Friendly,,United States,True,Chile,Mexico,home_win
1995-03-29,England,Uruguay,0,0,Friendly,,England,False,England,Uruguay,draw
1995-03-29,Brazil,Honduras,1,1,Friendly,,Brazil,False,Brazil,Honduras,draw
1995-03-29,Luxembourg,Norway,0,2,European Championship qual,,Luxembourg,False,Luxembourg,Norway,away_win
1995-03-29,Spain,Belgium,1,1,European Championship qual,,Spain,False,Spain,Belgium,draw
1995-03-29,Netherlands,Malta,4,0,European Championship qual,,Netherlands,False,Netherlands,Malta,home_win
1995-03-29,Georgia,Germany,0,2,European Championship qual,,Georgia,False,Georgia,Germany,away_win
1995-03-29,Israel,France,0,0,European Championship qual,,Israel,False,Israel,France,draw
1995-03-29,Lithuania,Croatia,0,0,European Championship qual,,Lithuania,False,Lithuania,Croatia,draw
1995-03-31,Syria,Egypt,1,2,Friendly,,Syria,False,Syria,Egypt,away_win
1995-03-31,Yugoslavia,Uruguay,1,0,Friendly,,Yugoslavia,False,Yugoslavia,Uruguay,home_win
1995-04-05,Uruguay,Peru,1,0,Friendly tournament,,Uruguay,False,Uruguay,Peru,home_win
1995-04-07,Egypt,Sudan,3,1,African Nations Cup qualifier,,Egypt,False,Egypt,Sudan,home_win
1995-04-07,Algeria,Ethiopia,2,0,African Nations Cup qualifier,,Algeria,False,Algeria,Ethiopia,home_win
1995-04-07,Mauritania,Senegal,0,1,African Nations Cup qualifier,,Mauritania,False,Mauritania,Senegal,away_win
1995-04-08,Sierra Leone,Ghana,1,0,African Nations Cup qualifier,,Sierra Leone,False,Sierra Leone,Ghana,home_win
1995-04-09,Morocco,Burkina Faso,0,0,African Nations Cup qualifier,,Morocco,False,Morocco,Burkina Faso,draw
1995-04-14,Egypt,Tunisia,1,0,Friendly,,Egypt,False,Egypt,Tunisia,home_win
1995-04-22,Tanzania,Egypt,1,2,African Nations Cup qualifier,,Tanzania,False,Tanzania,Egypt,away_win
1995-04-22,Senegal,Togo,5,1,African Nations Cup qualifier,,Senegal,False,Senegal,Togo,home_win
1995-04-22,Belgium,United States,1,0,Friendly,,Belgium,False,Belgium,USA,home_win
1995-04-23,Liberia,Tunisia,1,0,African Nations Cup qualifier,,Liberia,False,Liberia,Tunisia,home_win
1995-04-23,Ghana,Niger,1,0,African Nations Cup qualifier,,Ghana,False,Ghana,Niger,home_win
1995-04-24,Sudan,Algeria,2,0,African Nations Cup qualifier,,Sudan,False,Sudan,Algeria,home_win
1995-04-26,Lesotho,South Africa,1,3,Friendly,,Lesotho,False,Lesotho,South Africa,away_win
1995-04-26,Norway,Luxembourg,5,0,European Championship qual,,Norway,False,Norway,Luxembourg,home_win
1995-04-26,Ivory Coast,Sierra Leone,4,0,Friendly,,Ivory Coast,False,Côte d'Ivoire,Sierra Leone,home_win
1995-04-26,Germany,Wales,1,1,European Championship qual,,Germany,False,Germany,Wales,draw
1995-04-26,Austria,Liechtenstein,7,0,European Championship qual,,Austria,False,Austria,Liechtenstein,home_win
1995-04-26,Belgium,Cyprus,2,0,European Championship qual,,Belgium,False,Belgium,Cyprus,home_win
1995-04-26,Ireland,Portugal,1,0,European Championship qual,,Ireland,False,Ireland,Portugal,home_win
1995-04-26,Switzerland,Turkey,1,2,European Championship qual,,Switzerland,False,Switzerland,Türkiye,away_win
1995-04-26,Czechia,Netherlands,3,1,European Championship qual,,Czechia,False,Czechia,Netherlands,home_win
1995-04-26,San Marino,Scotland,0,2,European Championship qual,,San Marino,False,San Marino,Scotland,away_win
1995-04-26,Croatia,Slovenia,2,0,European Championship qual,,Croatia,False,Croatia,Slovenia,home_win
1995-04-26,Armenia,Spain,0,2,European Championship qual,,Armenia,False,Armenia,Spain,away_win
1995-04-26,France,Slovakia,4,0,European Championship qual,,France,False,France,Slovakia,home_win
1995-05-13,South Africa,Argentina,1,1,Friendly tournament,,South Africa,False,South Africa,Argentina,draw
1995-05-13,Ivory Coast,Mali,0,1,Friendly,,Ivory Coast,False,Côte d'Ivoire,Mali,away_win
1995-05-14,Bolivia,Paraguay,1,1,Copa Paz del Chaco,,Bolivia,False,Bolivia,Paraguay,draw
1995-05-17,Israel,Brazil,1,2,Friendly,,Israel,False,Israel,Brazil,away_win
1995-05-18,Morocco,Egypt,0,0,Friendly,,Morocco,False,Morocco,Egypt,draw
1995-05-21,Japan,Scotland,0,0,Friendly tournament,,Japan,False,Japan,Scotland,draw
1995-05-22,Canada,Northern Ireland,2,0,Friendly tournament,,Canada,False,Canada,Northern Ireland,home_win
1995-05-24,Scotland,Ecuador,2,1,Friendly tournament,,Japan,True,Scotland,Ecuador,home_win
1995-05-25,Norway,Ghana,3,2,Friendly,,Norway,False,Norway,Ghana,home_win
1995-05-28,United States,Costa Rica,1,2,Friendly,,United States,False,USA,Costa Rica,away_win
1995-05-28,Canada,Chile,1,2,Friendly tournament,,Canada,False,Canada,Chile,away_win
1995-05-28,Japan,Ecuador,3,0,Friendly tournament,,Japan,False,Japan,Ecuador,home_win
1995-05-28,Ivory Coast,Liberia,1,1,Friendly,,Ivory Coast,False,Côte d'Ivoire,Liberia,draw
1995-05-31,Argentina,Peru,1,0,Friendly tournament,,Argentina,False,Argentina,Peru,home_win
1995-06-02,Algeria,Uganda,1,1,African Nations Cup qualifier,,Algeria,False,Algeria,Uganda,draw
1995-06-03,Portugal,Latvia,3,2,European Championship qual,,Portugal,False,Portugal,Latvia,home_win
1995-06-03,England,Japan,2,1,Friendly tournament,,England,False,England,Japan,home_win
1995-06-04,Brazil,Sweden,1,0,Friendly tournament,,England,True,Brazil,Sweden,home_win
