team_a,team_b,date,tournament,neutral,team_a_matches_last5,team_b_matches_last5,team_a_win_rate_last5,team_b_win_rate_last5,team_a_draw_rate_last5,team_b_draw_rate_last5,team_a_loss_rate_last5,team_b_loss_rate_last5,team_a_points_per_match_last5,team_b_points_per_match_last5,team_a_matches_last10,team_b_matches_last10,team_a_win_rate_last10,team_b_win_rate_last10,team_a_draw_rate_last10,team_b_draw_rate_last10,team_a_loss_rate_last10,team_b_loss_rate_last10,team_a_avg_goals_scored_last10,team_b_avg_goals_scored_last10,team_a_avg_goals_conceded_last10,team_b_avg_goals_conceded_last10,team_a_avg_goal_diff_last10,team_b_avg_goal_diff_last10,team_a_points_per_match_last10,team_b_points_per_match_last10,win_rate_diff_last10,points_per_match_diff_last10,avg_goals_scored_diff_last10,avg_goals_conceded_diff_last10,avg_goal_diff_diff_last10,h2h_matches,team_a_h2h_win_rate,team_b_h2h_win_rate,h2h_draw_rate,team_a_h2h_avg_goals,team_b_h2h_avg_goals,team_a_goals,team_b_goals,result
Qatar,Ecuador,2022-11-20,World Cup,False,5,5,1.0,0.2,0.0,0.8,0.0,0.0,3.0,1.4,10,10,0.6,0.2,0.3,0.7,0.1,0.1,1.3,0.6,0.8,0.6,0.5,0.0,2.1,1.3,0.3999999999999999,0.8,0.7000000000000001,0.2,0.5,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,2.0,0,2,team_b_win
USA,Wales,2022-11-21,World Cup,True,5,5,0.2,0.2,0.6,0.2,0.2,0.6,1.2,0.8,10,10,0.4,0.2,0.4,0.3,0.2,0.5,1.7,1.1,0.6,1.7,1.1,-0.6,1.6,0.9,0.2,0.7000000000000001,0.5999999999999999,-1.1,1.7000000000000002,2,0.5,0.0,0.5,1.0,0.0,1,1,draw
England,IR Iran,2022-11-21,World Cup,True,5,5,0.0,0.4,0.6,0.2,0.4,0.4,0.6,1.4,10,10,0.4,0.6,0.3,0.1,0.3,0.3,2.4,1.1,1.1,0.7,1.3,0.4,1.5,1.9,-0.1999999999999999,-0.3999999999999999,1.2999999999999998,0.4000000000000001,0.9,0,0.0,0.0,0.0,0.0,0.0,6,2,team_a_win
Netherlands,Senegal,2022-11-21,World Cup,True,5,5,0.8,0.2,0.2,0.6,0.0,0.2,2.6,1.2,10,10,0.7,0.4,0.3,0.4,0.0,0.2,2.3,1.3,1.1,0.9,1.2,0.4,2.4,1.6,0.2999999999999999,0.7999999999999998,0.9999999999999998,0.2,0.7999999999999999,0,0.0,0.0,0.0,0.0,0.0,2,0,team_a_win
France,Australia,2022-11-22,World Cup,True,5,5,0.2,0.8,0.4,0.2,0.4,0.0,1.0,2.6,10,10,0.5,0.5,0.2,0.3,0.3,0.2,2.2,1.4,0.8,0.8,1.4,0.6,1.7,1.8,0.0,-0.1,0.8000000000000003,0.0,0.7999999999999999,4,0.5,0.25,0.25,2.25,0.75,4,1,team_a_win
Saudi Arabia,Argentina,2022-11-22,World Cup,True,5,5,0.2,1.0,0.6,0.0,0.2,0.0,1.2,3.0,10,10,0.2,0.8,0.5,0.2,0.3,0.0,0.4,2.6,0.5,0.2,-0.1,2.4,1.1,2.6,-0.6000000000000001,-1.5,-2.2,0.3,-2.5,1,0.0,0.0,1.0,0.0,0.0,2,1,team_a_win
Denmark,Tunisia,2022-11-22,World Cup,True,5,5,0.6,0.8,0.0,0.0,0.4,0.2,1.8,2.4,10,10,0.6,0.6,0.0,0.2,0.4,0.2,1.4,1.4,1.1,0.6,0.3,0.8,1.8,2.0,0.0,-0.1999999999999999,0.0,0.5000000000000001,-0.5,1,1.0,0.0,0.0,2.0,1.0,0,0,draw
Mexico,Poland,2022-11-22,World Cup,True,5,5,0.4,0.0,0.0,0.4,0.6,0.6,1.2,0.4,10,10,0.4,0.0,0.2,0.4,0.4,0.6,1.4,0.8,1.1,1.9,0.3,-1.1,1.4,0.4,0.4,1.0,0.5999999999999999,-0.7999999999999998,1.4,3,0.3333333333333333,0.0,0.6666666666666666,1.0,0.6666666666666666,0,0,draw
Spain,Costa Rica,2022-11-23,World Cup,True,5,5,0.8,0.6,0.0,0.2,0.2,0.2,2.4,2.0,10,10,0.7,0.5,0.2,0.2,0.1,0.3,1.9,1.0,0.7,0.8,1.2,0.2,2.3,1.7,0.1999999999999999,0.5999999999999999,0.8999999999999999,-0.1,1.0,3,0.6666666666666666,0.0,0.3333333333333333,3.0,1.0,7,0,team_a_win
Belgium,Canada,2022-11-23,World Cup,True,5,5,0.4,0.4,0.2,0.2,0.4,0.4,1.4,1.4,10,10,0.4,0.5,0.3,0.1,0.3,0.4,1.8,1.7,1.3,0.9,0.5,0.8,1.5,1.6,-0.0999999999999999,-0.1,0.1,0.4,-0.3,0,0.0,0.0,0.0,0.0,0.0,1,0,team_a_win
Japan,Germany,2022-11-23,World Cup,True,5,5,0.4,0.4,0.4,0.4,0.2,0.2,1.6,1.6,10,10,0.5,0.4,0.2,0.5,0.3,0.1,2.0,1.9,0.8,1.1,1.2,0.8,1.7,1.7,0.0999999999999999,0.0,0.1,-0.3,0.3999999999999999,2,0.0,0.5,0.5,1.0,2.5,2,1,team_a_win
Croatia,Morocco,2022-11-23,World Cup,True,5,5,1.0,0.8,0.0,0.2,0.0,0.0,3.0,2.6,10,10,0.7,0.6,0.2,0.2,0.1,0.2,1.3,1.6,0.8,0.8,0.5,0.8,2.3,2.0,0.0999999999999999,0.2999999999999998,-0.3,0.0,-0.3,1,0.0,0.0,1.0,2.0,2.0,0,0,draw
Brazil,Serbia,2022-11-24,World Cup,True,5,5,1.0,0.8,0.0,0.0,0.0,0.2,3.0,2.4,10,10,0.8,0.5,0.2,0.3,0.0,0.2,2.8,1.7,0.3,0.7,2.5,1.0,2.6,1.8,0.3,0.8,1.1,-0.3999999999999999,1.5,2,1.0,0.0,0.0,1.5,0.0,2,0,team_a_win
Switzerland,Cameroon,2022-11-24,World Cup,True,5,5,0.6,0.2,0.0,0.2,0.4,0.6,1.8,0.8,10,10,0.4,0.2,0.1,0.3,0.5,0.5,1.2,0.7,1.4,1.2,-0.2,-0.5,1.3,0.9,0.2,0.4,0.5,0.1999999999999999,0.3,0,0.0,0.0,0.0,0.0,0.0,1,0,team_a_win
Portugal,Ghana,2022-11-24,World Cup,True,5,5,0.6,0.4,0.0,0.2,0.4,0.4,1.8,1.4,10,10,0.6,0.3,0.1,0.4,0.3,0.3,2.1,1.1,0.6,1.2,1.5,-0.1,1.9,1.3,0.3,0.5999999999999999,1.0,-0.6,1.6,1,1.0,0.0,0.0,2.0,1.0,3,2,team_a_win
Korea Republic,Uruguay,2022-11-24,World Cup,True,5,5,0.6,0.6,0.2,0.2,0.2,0.2,2.0,2.0,10,10,0.6,0.7,0.2,0.1,0.2,0.2,1.9,1.8,1.3,0.5,0.6,1.3,2.0,2.2,-0.0999999999999999,-0.2000000000000001,0.0999999999999998,0.8,-0.7000000000000001,6,0.1666666666666666,0.8333333333333334,0.0,0.6666666666666666,1.6666666666666667,0,0,draw
Qatar,Senegal,2022-11-25,World Cup,False,5,5,0.8,0.2,0.0,0.4,0.2,0.4,2.4,1.0,10,10,0.5,0.4,0.3,0.3,0.2,0.3,1.1,1.3,0.9,1.1,0.2,0.2,1.8,1.5,0.0999999999999999,0.3,-0.1999999999999999,-0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,team_b_win
Ecuador,Netherlands,2022-11-25,World Cup,True,5,5,0.4,0.8,0.6,0.2,0.0,0.0,1.8,2.6,10,10,0.3,0.8,0.6,0.2,0.1,0.0,0.7,2.3,0.5,0.9,0.2,1.4,1.5,2.6,-0.5,-1.1,-1.6,-0.4,-1.2,2,0.0,0.5,0.5,0.5,1.0,1,1,draw
IR Iran,Wales,2022-11-25,World Cup,True,5,5,0.4,0.0,0.2,0.4,0.4,0.6,1.4,0.4,10,10,0.5,0.2,0.1,0.4,0.4,0.4,1.0,1.1,1.3,1.5,-0.3,-0.4,1.6,1.0,0.3,0.6000000000000001,-0.1,-0.1999999999999999,0.1,0,0.0,0.0,0.0,0.0,0.0,2,0,team_a_win
England,USA,2022-11-25,World Cup,True,5,5,0.2,0.2,0.4,0.6,0.4,0.2,1.0,1.2,10,10,0.4,0.3,0.3,0.5,0.3,0.2,2.5,1.5,1.3,0.7,1.2,0.8,1.5,1.4,0.1,0.1,1.0,0.6000000000000001,0.3999999999999999,4,0.75,0.0,0.25,2.0,0.5,0,0,draw
France,Denmark,2022-11-26,World Cup,True,5,5,0.4,0.4,0.2,0.2,0.4,0.4,1.4,1.4,10,10,0.5,0.5,0.2,0.1,0.3,0.4,1.8,1.2,0.9,1.1,0.9,0.1,1.7,1.6,0.0,0.0999999999999998,0.6000000000000001,-0.2,0.8,11,0.5454545454545454,0.3636363636363636,0.0909090909090909,1.181818181818182,0.8181818181818182,2,1,team_a_win
Poland,Saudi Arabia,2022-11-26,World Cup,True,5,5,0.0,0.4,0.4,0.4,0.6,0.2,0.4,1.6,10,10,0.0,0.3,0.5,0.5,0.5,0.2,0.8,0.6,1.8,0.5,-1.0,0.1,0.5,1.4,-0.3,-0.8999999999999999,0.2,1.3,-1.1,1,1.0,0.0,0.0,2.0,1.0,2,0,team_a_win
Argentina,Mexico,2022-11-26,World Cup,True,5,5,0.8,0.4,0.0,0.2,0.2,0.4,2.4,1.4,10,10,0.8,0.3,0.1,0.3,0.1,0.4,2.7,1.2,0.4,1.0,2.3,0.2,2.5,1.2,0.5,1.3,1.5000000000000002,-0.6,2.1,15,0.6666666666666666,0.0666666666666666,0.2666666666666666,2.0,0.6666666666666666,2,0,team_a_win
Australia,Tunisia,2022-11-26,World Cup,True,5,5,0.6,0.6,0.2,0.2,0.2,0.2,2.0,2.0,10,10,0.5,0.6,0.2,0.3,0.3,0.1,1.4,1.4,1.1,0.5,0.3,0.9,1.7,2.1,-0.0999999999999999,-0.4000000000000001,0.0,0.6000000000000001,-0.6000000000000001,2,0.5,0.5,0.0,1.5,1.0,1,0,team_a_win
Germany,Spain,2022-11-27,World Cup,True,5,5,0.4,0.8,0.2,0.0,0.4,0.2,1.4,2.4,10,10,0.3,0.7,0.5,0.2,0.2,0.1,1.6,2.5,1.2,0.7,0.4,1.8,1.4,2.3,-0.3999999999999999,-0.8999999999999999,-0.8999999999999999,0.5,-1.4,9,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.8888888888888888,1.5555555555555556,1,1,draw
Croatia,Canada,2022-11-27,World Cup,True,5,5,0.8,0.4,0.2,0.2,0.0,0.4,2.6,1.4,10,10,0.6,0.4,0.3,0.1,0.1,0.5,1.2,1.5,0.8,1.0,0.4,0.5,2.1,1.3,0.1999999999999999,0.8,-0.3,-0.1999999999999999,-0.0999999999999999,0,0.0,0.0,0.0,0.0,0.0,4,1,team_a_win
Costa Rica,Japan,2022-11-27,World Cup,True,5,5,0.4,0.6,0.2,0.2,0.4,0.2,1.4,2.0,10,10,0.5,0.5,0.2,0.2,0.3,0.3,0.9,1.8,1.3,0.8,-0.4,1.0,1.7,1.7,0.0,0.0,-0.9,0.5,-1.4,4,0.0,0.75,0.25,0.5,2.5,1,0,team_a_win
Morocco,Belgium,2022-11-27,World Cup,True,5,5,0.6,0.6,0.4,0.0,0.0,0.4,2.2,1.8,10,10,0.6,0.5,0.3,0.2,0.1,0.3,1.5,1.8,0.6,1.2,0.9,0.6,2.1,1.7,0.0999999999999999,0.4000000000000001,-0.3,-0.6,0.3,2,0.5,0.5,0.0,2.0,2.5,2,0,team_a_win
