match_no,date,stage,group,team_a,team_b,team_a_clean,team_b_clean,venue,city,country,neutral
Match 1,2026-06-11,,Group A,Mexico,South Africa,Mexico,South Africa,Mexico City Stadium,,,True
Match 2,2026-06-11,,Group A,Korea Republic,Czechia/Denmark/North Macedonia/Republic of Ireland,Korea Republic,Czechia/Denmark/North Macedonia/Republic of Ireland,Estadio Guadalajara,,,True
Match 3,2026-06-12,,Group B,Canada,Bosnia and Herzegovina/Italy/Northern Ireland/Wales,Canada,Bosnia and Herzegovina/Italy/Northern Ireland/Wales,Toronto Stadium,,,True
Match 4,2026-06-12,,Group D,USA,Paraguay,USA,Paraguay,Los Angeles Stadium,,,True
Match 5,2026-06-13,,Group C,Haiti,Scotland,Haiti,Scotland,Boston Stadium,,,True
Match 6,2026-06-13,,Group D,Australia,Kosovo/Romania/Slovakia/Türkiye,Australia,Kosovo/Romania/Slovakia/Türkiye,BC Place Vancouver,,,True
Match 7,2026-06-13,,Group C,Brazil,Morocco,Brazil,Morocco,New York New Jersey Stadium,,,True
Match 8,2026-06-13,,Group B,Qatar,Switzerland,Qatar,Switzerland,San Francisco Bay Area Stadium,,,True
Match 9,2026-06-14,,Group E,Côte d'Ivoire,Ecuador,Côte d'Ivoire,Ecuador,Philadelphia Stadium,,,True
Match 10,2026-06-14,,Group E,Germany,Curaçao,Germany,Curaçao,Houston Stadium,,,True
Match 11,2026-06-14,,Group F,Netherlands,Japan,Netherlands,Japan,Dallas Stadium,,,True
Match 12,2026-06-14,,Group F,Albania/Poland/Sweden/Ukraine,Tunisia,Albania/Poland/Sweden/Ukraine,Tunisia,Estadio Monterrey,,,True
Match 13,2026-06-15,,Group H,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,Miami Stadium,,,True
Match 14,2026-06-15,,Group H,Spain,Cabo Verde,Spain,Cabo Verde,Atlanta Stadium,,,True
Match 15,2026-06-15,,Group G,IR Iran,New Zealand,IR Iran,New Zealand,Los Angeles Stadium,,,True
Match 16,2026-06-15,,Group G,Belgium,Egypt,Belgium,Egypt,Seattle Stadium,,,True
Match 17,2026-06-16,,Group I,France,Senegal,France,Senegal,New York New Jersey Stadium,,,True
Match 18,2026-06-16,,Group I,Bolivia/Iraq/Suriname,Norway,Bolivia/Iraq/Suriname,Norway,Boston Stadium,,,True
Match 19,2026-06-16,,Group J,Argentina,Algeria,Argentina,Algeria,Kansas City Stadium,,,True
