date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
1872-11-30,Scotland,England,0,0,Friendly,,Scotland,False,Scotland,England,draw
1873-03-08,England,Scotland,4,2,Friendly,,England,False,England,Scotland,home_win
1874-03-07,Scotland,England,2,1,Friendly,,Scotland,False,Scotland,England,home_win
1875-03-06,England,Scotland,2,2,Friendly,,England,False,England,Scotland,draw
1876-03-04,Scotland,England,3,0,Friendly,,Scotland,False,Scotland,England,home_win
1877-03-03,England,Scotland,1,3,Friendly,,England,False,England,Scotland,away_win
1878-03-02,Scotland,England,7,2,Friendly,,Scotland,False,Scotland,England,home_win
1879-04-05,England,Scotland,5,4,Friendly,,England,False,England,Scotland,home_win
1880-03-13,Scotland,England,5,4,Friendly,,Scotland,False,Scotland,England,home_win
1881-03-12,England,Scotland,1,6,Friendly,,England,False,England,Scotland,away_win
1882-03-11,Scotland,England,5,1,Friendly,,Scotland,False,Scotland,England,home_win
1883-03-10,England,Scotland,2,3,Friendly,,England,False,England,Scotland,away_win
1884-03-15,Scotland,England,1,0,British Championship,,Scotland,False,Scotland,England,home_win
1885-03-21,England,Scotland,1,1,British Championship,,England,False,England,Scotland,draw
1886-03-27,Scotland,England,1,1,British Championship,,Scotland,False,Scotland,England,draw
1887-03-19,England,Scotland,2,3,British Championship,,England,False,England,Scotland,away_win
1888-03-17,Scotland,England,0,5,British Championship,,Scotland,False,Scotland,England,away_win
1889-04-13,England,Scotland,2,3,British Championship,,England,False,England,Scotland,away_win
1890-04-05,Scotland,England,1,1,British Championship,,Scotland,False,Scotland,England,draw
1891-04-04,England,Scotland,2,1,British Championship,,England,False,England,Scotland,home_win
1892-04-02,Scotland,England,1,4,British Championship,,Scotland,False,Scotland,England,away_win
1893-04-01,England,Scotland,5,2,British Championship,,England,False,England,Scotland,home_win
1894-04-07,Scotland,England,2,2,British Championship,,Scotland,False,Scotland,England,draw
1895-04-06,England,Scotland,3,0,British Championship,,England,False,England,Scotland,home_win
1896-04-04,Scotland,England,2,1,British Championship,,Scotland,False,Scotland,England,home_win
1897-04-03,England,Scotland,1,2,British Championship,,England,False,England,Scotland,away_win
1898-04-02,Scotland,England,1,3,British Championship,,Scotland,False,Scotland,England,away_win
1899-04-08,England,Scotland,2,1,British Championship,,England,False,England,Scotland,home_win
1900-04-07,Scotland,England,4,1,British Championship,,Scotland,False,Scotland,England,home_win
1901-03-30,England,Scotland,2,2,British Championship,,England,False,England,Scotland,draw
1902-04-05,Scotland,England,1,1,British Championship,,Scotland,False,Scotland,England,draw
1902-05-03,England,Scotland,2,2,British Championship,,England,False,England,Scotland,draw
1902-07-20,Uruguay,Argentina,0,6,Friendly,,Uruguay,False,Uruguay,Argentina,away_win
1903-04-04,England,Scotland,1,2,British Championship,,England,False,England,Scotland,away_win
1903-09-13,Argentina,Uruguay,2,3,Friendly,,Argentina,False,Argentina,Uruguay,away_win
1904-04-09,Scotland,England,0,1,British Championship,,Scotland,False,Scotland,England,away_win
1904-05-01,Belgium,France,3,3,Friendly,,Belgium,False,Belgium,France,draw
1905-02-12,France,Switzerland,1,0,Friendly,,France,False,France,Switzerland,home_win
1905-04-01,England,Scotland,1,0,British Championship,,England,False,England,Scotland,home_win
1905-04-30,Belgium,Netherlands,1,4,Friendly,,Belgium,False,Belgium,Netherlands,away_win
1905-05-07,Belgium,France,7,0,Friendly,,Belgium,False,Belgium,France,home_win
1905-05-14,Netherlands,Belgium,4,0,Friendly,,Netherlands,False,Netherlands,Belgium,home_win
1905-08-15,Argentina,Uruguay,0,0,Lipton Cup,,Argentina,False,Argentina,Uruguay,draw
1906-04-07,Scotland,England,2,1,British Championship,,Scotland,False,Scotland,England,home_win
1906-04-22,France,Belgium,0,5,Friendly,,France,False,France,Belgium,away_win
1906-04-29,Belgium,Netherlands,5,0,Friendly,,Belgium,False,Belgium,Netherlands,home_win
1906-05-13,Netherlands,Belgium,2,3,Friendly,,Netherlands,False,Netherlands,Belgium,away_win
1906-07-09,Argentina,South Africa,0,1,Friendly,,Argentina,False,Argentina,South Africa,away_win
1906-08-15,Uruguay,Argentina,0,2,Lipton Cup,,Uruguay,False,Uruguay,Argentina,away_win
1906-10-21,Argentina,Uruguay,2,1,Newton Cup,,Argentina,False,Argentina,Uruguay,home_win
1906-11-01,France,England,0,15,Friendly,,France,False,France,England,away_win
1907-04-01,Netherlands,England,1,8,Friendly,,Netherlands,False,Netherlands,England,away_win
1907-04-06,England,Scotland,1,1,British Championship,,England,False,England,Scotland,draw
1907-04-14,Belgium,Netherlands,1,3,Friendly,,Belgium,False,Belgium,Netherlands,away_win
1907-04-21,Belgium,France,1,2,Friendly,,Belgium,False,Belgium,France,away_win
1907-05-09,Netherlands,Belgium,1,2,Friendly,,Netherlands,False,Netherlands,Belgium,away_win
1907-08-15,Argentina,Uruguay,2,1,Lipton Cup,,Argentina,False,Argentina,Uruguay,home_win
1907-10-06,Uruguay,Argentina,1,2,Newton Cup,,Uruguay,False,Uruguay,Argentina,away_win
1907-12-21,England,Netherlands,12,2,Friendly,,England,False,England,Netherlands,home_win
1908-03-08,Switzerland,France,1,2,Friendly,,Switzerland,False,Switzerland,France,away_win
1908-03-23,England,France,12,0,Friendly,,England,False,England,France,home_win
1908-03-29,Belgium,Netherlands,1,4,Friendly,,Belgium,False,Belgium,Netherlands,away_win
1908-04-04,Scotland,England,1,1,British Championship,,Scotland,False,Scotland,England,draw
1908-04-05,Switzerland,Germany,5,3,Friendly,,Switzerland,False,Switzerland,Germany,home_win
1908-04-12,France,Belgium,1,2,Friendly,,France,False,France,Belgium,away_win
1908-04-18,Belgium,England,2,8,Friendly,,Belgium,False,Belgium,England,away_win
1908-04-20,Germany,England,1,5,Friendly,,Germany,False,Germany,England,away_win
1908-04-26,Netherlands,Belgium,3,1,Friendly,,Netherlands,False,Netherlands,Belgium,home_win
1908-05-10,Netherlands,France,4,1,Friendly,,Netherlands,False,Netherlands,France,home_win
1908-06-06,Austria,England,1,6,Friendly,,Austria,False,Austria,England,away_win
1908-06-07,Austria,Germany,3,2,Friendly,,Austria,False,Austria,Germany,home_win
1908-06-08,Austria,England,1,11,Friendly,,Austria,False,Austria,England,away_win
1908-08-15,Uruguay,Argentina,2,2,Lipton Cup,,Uruguay,False,Uruguay,Argentina,draw
1908-09-13,Argentina,Uruguay,2,1,Newton Cup,,Argentina,False,Argentina,Uruguay,home_win
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,,Argentina,False,Argentina,Uruguay,away_win
1908-10-22,England,Netherlands,4,0,Olympic Games,,England,False,England,Netherlands,home_win
1909-03-13,England,Germany,9,0,Friendly,,England,False,England,Germany,home_win
1909-03-21,Belgium,Netherlands,1,4,Friendly,,Belgium,False,Belgium,Netherlands,away_win
1909-04-03,England,Scotland,2,0,British Championship,,England,False,England,Scotland,home_win
1909-04-04,Germany,Switzerland,1,0,Friendly,,Germany,False,Germany,Switzerland,home_win
1909-04-12,Netherlands,England,0,4,Friendly,,Netherlands,False,Netherlands,England,away_win
1909-04-19,England,Belgium,11,2,Friendly,,England,False,England,Belgium,home_win
1909-04-25,Netherlands,Belgium,4,1,Friendly,,Netherlands,False,Netherlands,Belgium,home_win
1909-05-09,Belgium,France,5,2,Friendly,,Belgium,False,Belgium,France,home_win
