team,team_clean,group
Czechia/Denmark/North Macedonia/Republic of Ireland,Czechia/Denmark/North Macedonia/Republic of Ireland,Group A
Korea Republic,Korea Republic,Group A
Mexico,Mexico,Group A
South Africa,South Africa,Group A
Bosnia and Herzegovina/Italy/Northern Ireland/Wales,Bosnia and Herzegovina/Italy/Northern Ireland/Wales,Group B
Canada,Canada,Group B
Qatar,Qatar,Group B
Switzerland,Switzerland,Group B
Brazil,Brazil,Group C
Haiti,Haiti,Group C
Morocco,Morocco,Group C
Scotland,Scotland,Group C
Australia,Australia,Group D
Kosovo/Romania/Slovakia/Türkiye,Kosovo/Romania/Slovakia/Türkiye,Group D
Paraguay,Paraguay,Group D
USA,USA,Group D
Curaçao,Curaçao,Group E
Côte d'Ivoire,Côte d'Ivoire,Group E
Ecuador,Ecuador,Group E
Germany,Germany,Group E
Albania/Poland/Sweden/Ukraine,Albania/Poland/Sweden/Ukraine,Group F
Japan,Japan,Group F
Netherlands,Netherlands,Group F
Tunisia,Tunisia,Group F
Belgium,Belgium,Group G
Egypt,Egypt,Group G
IR Iran,IR Iran,Group G
New Zealand,New Zealand,Group G
Cabo Verde,Cabo Verde,Group H
Saudi Arabia,Saudi Arabia,Group H
Spain,Spain,Group H
Uruguay,Uruguay,Group H
Bolivia/Iraq/Suriname,Bolivia/Iraq/Suriname,Group I
France,France,Group I
Norway,Norway,Group I
Senegal,Senegal,Group I
Algeria,Algeria,Group J
Argentina,Argentina,Group J
Austria,Austria,Group J
Jordan,Jordan,Group J
Colombia,Colombia,Group K
Congo DR/Jamaica/New Caledonia,Congo DR/Jamaica/New Caledonia,Group K
Portugal,Portugal,Group K
Uzbekistan,Uzbekistan,Group K
Croatia,Croatia,Group L
England,England,Group L
Ghana,Ghana,Group L
Panama,Panama,Group L
Group A runners-up,Group A runners-up,
Group A winners,Group A winners,
Group A/B/C/D/F third place,Group A/B/C/D/F third place,
Group A/E/H/I/J third place,Group A/E/H/I/J third place,
Group B runners-up,Group B runners-up,
Group B winners,Group B winners,
Group B/E/F/I/J third place,Group B/E/F/I/J third place,
Group C runners-up,Group C runners-up,
Group C winners,Group C winners,
Group C/D/F/G/H third place,Group C/D/F/G/H third place,
Group C/E/F/H/I third place,Group C/E/F/H/I third place,
Group D runners-up,Group D runners-up,
Group D winners,Group D winners,
Group D/E/I/J/L third place,Group D/E/I/J/L third place,
Group E runners up,Group E runners up,
Group E winners,Group E winners,
Group E/F/G/I/J third place,Group E/F/G/I/J third place,
Group E/H/I/J/K third place,Group E/H/I/J/K third place,
Group F runners-up,Group F runners-up,
Group F winners,Group F winners,
Group G runners-up,Group G runners-up,
Group G winners,Group G winners,
Group H runners-up,Group H runners-up,
Group H winners,Group H winners,
Group I runners-up,Group I runners-up,
Group I winners,Group I winners,
Group J runners-up,Group J runners-up,
Group J winners,Group J winners,
Group K runners-up,Group K runners-up,
Group K winners,Group K winners,
Group L runners-up,Group L runners-up,
Group L winners,Group L winners,
Runner-up match 101,Runner-up match 101,
Runner-up match 102,Runner-up match 102,
Winner match 100,Winner match 100,
Winner match 101,Winner match 101,
Winner match 102,Winner match 102,
Winner match 73,Winner match 73,
Winner match 74,Winner match 74,
Winner match 75,Winner match 75,
Winner match 76,Winner match 76,
Winner match 77,Winner match 77,
Winner match 78,Winner match 78,
Winner match 79,Winner match 79,
Winner match 80,Winner match 80,
Winner match 81,Winner match 81,
Winner match 82,Winner match 82,
Winner match 83,Winner match 83,
Winner match 84,Winner match 84,
Winner match 85,Winner match 85,
Winner match 86,Winner match 86,
Winner match 87,Winner match 87,
Winner match 88,Winner match 88,
Winner match 89,Winner match 89,
Winner match 90,Winner match 90,
Winner match 91,Winner match 91,
Winner match 92,Winner match 92,
Winner match 93,Winner match 93,
Winner match 94,Winner match 94,
Winner match 95,Winner match 95,
Winner match 96,Winner match 96,
Winner match 97,Winner match 97,
Winner match 98,Winner match 98,
Winner match 99,Winner match 99,
