date,home_team,away_team,home_score,away_score,tournament,country,neutral
2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,Mexico,False
2026-06-12,Korea Republic,Czechia,2,1,FIFA World Cup,United States,True
2026-06-12,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,Canada,False
2026-06-13,USA,Paraguay,4,1,FIFA World Cup,United States,False
2026-06-13,Qatar,Switzerland,1,1,FIFA World Cup,United States,True
2026-06-14,Brazil,Morocco,1,1,FIFA World Cup,United States,True
2026-06-14,Haiti,Scotland,0,1,FIFA World Cup,United States,True
2026-06-14,Australia,Türkiye,2,0,FIFA World Cup,United States,True
2026-06-14,Germany,Curaçao,7,1,FIFA World Cup,United States,True
2026-06-14,Netherlands,Japan,2,2,FIFA World Cup,United States,True
2026-06-15,Côte d'Ivoire,Ecuador,1,0,FIFA World Cup,United States,True
2026-06-15,Sweden,Tunisia,5,1,FIFA World Cup,United States,True
2026-06-15,Spain,Cabo Verde,0,0,FIFA World Cup,United States,True
2026-06-15,Belgium,Egypt,1,1,FIFA World Cup,United States,True
2026-06-16,Saudi Arabia,Uruguay,1,1,FIFA World Cup,United States,True
2026-06-16,IR Iran,New Zealand,2,2,FIFA World Cup,United States,True
2026-06-16,France,Senegal,3,1,FIFA World Cup,United States,True
2026-06-17,Iraq,Norway,1,4,FIFA World Cup,United States,True
2026-06-17,Argentina,Algeria,3,0,FIFA World Cup,United States,True
2026-06-17,Austria,Jordan,3,1,FIFA World Cup,United States,True
2026-06-17,Portugal,DR Congo,1,1,FIFA World Cup,United States,True
2026-06-17,England,Croatia,2,1,FIFA World Cup,United States,True
