feature,importance
numeric__avg_goal_diff_diff_last10,0.392200340500619
numeric__team_b_avg_goals_conceded_last10,0.10800077895289664
numeric__team_b_avg_goal_diff_last10,0.05974688923488533
numeric__points_per_match_diff_last10,0.056514221111868435
numeric__team_b_matches_last10,0.034386460125466756
numeric__team_a_h2h_avg_goals,0.034069246385840773
numeric__team_b_h2h_win_rate,0.027074743859221324
numeric__avg_goals_scored_diff_last10,0.026822009220976422
numeric__neutral,0.024997414850401398
numeric__team_a_avg_goals_scored_last10,0.0193441851784364
numeric__team_b_h2h_avg_goals,0.017732676390457388
numeric__team_a_avg_goal_diff_last10,0.016999478723613164
numeric__team_b_points_per_match_last10,0.016156416522314743
numeric__h2h_matches,0.015441579580571834
numeric__team_b_avg_goals_scored_last10,0.013880961604708439
numeric__avg_goals_conceded_diff_last10,0.013567569503033438
categorical__tournament_CONCACAF Nations League q,0.012512713958389021
numeric__team_a_h2h_win_rate,0.0102717577640476
numeric__win_rate_diff_last10,0.010093012729720045
numeric__team_b_loss_rate_last10,0.009233322684973419
numeric__team_a_points_per_match_last5,0.009088558232252788
categorical__tournament_World Cup and Asian Cup qual,0.008244041220571681
numeric__h2h_draw_rate,0.006901792124448006
numeric__team_a_draw_rate_last5,0.0056063087585604444
numeric__team_a_draw_rate_last10,0.005474775280063387
numeric__team_a_points_per_match_last10,0.005460972816376728
categorical__tournament_Confederations Cup,0.004124446524866713
numeric__team_a_avg_goals_conceded_last10,0.00397450364757342
numeric__team_a_loss_rate_last10,0.0037574693612164216
numeric__team_b_matches_last5,0.0029739636460743898
numeric__team_b_draw_rate_last10,0.0027892038897191257
categorical__tournament_Copa America,0.0024535451198152984
categorical__tournament_European Championship qual,0.0021156480421114588
numeric__team_b_points_per_match_last5,0.001968196331516884
numeric__team_a_win_rate_last10,0.0018397150662806045
categorical__tournament_CONCACAF Champ qual,0.0013782689119078535
categorical__tournament_African Nations Cup,0.0012837753242980203
numeric__team_a_loss_rate_last5,0.0012229947127927491
numeric__team_a_win_rate_last5,0.0011614631571658085
numeric__team_b_win_rate_last10,0.0008186161033014878
categorical__tournament_CONCACAF Championship,0.0007935674076106554
categorical__tournament_COSAFA Cup,0.000779620359690012
categorical__tournament_CONCACAF Ch q & Car Ch PO,0.0007392163995418078
categorical__tournament_UNCAF Nations Cup,0.0006251004194100463
categorical__tournament_Afro-Asian Cup,0.0006156522147709959
numeric__team_b_draw_rate_last5,0.0006038533504589195
categorical__tournament_Asian Cup qualifier,0.0005959838859830605
categorical__tournament_Arab Cup,0.0005359950535829541
numeric__team_b_loss_rate_last5,0.00040905690318491887
categorical__tournament_Friendly,0.0003672036403296919
categorical__tournament_CONCACAF Ch q & C Am Cup,0.00035673490634741773
categorical__tournament_CECAFA Cup,0.00028192569147519333
categorical__tournament_European Nations League A,0.0002797130852073125
categorical__tournament_World Cup qualifier,0.00027824770637650424
categorical__tournament_African Nations Cup qualifier,0.00025447450768734586
categorical__tournament_Central American Cup,0.000238322101540251
numeric__team_b_win_rate_last5,0.00023608872154095212
categorical__tournament_CONCACAF Nations League B,0.00012267096920213596
numeric__team_a_matches_last10,8.361296379640083e-05
categorical__tournament_WC q and Oce Cup,4.505597716743074e-05
categorical__tournament_Amilcar Cabral Cup,3.706925973552445e-05
categorical__tournament_Asian Cup,3.679732200549654e-05
numeric__team_a_matches_last5,0.0
categorical__tournament_CONCACAF Nations League A,0.0
categorical__tournament_CONCACAF Nations League,0.0
categorical__tournament_CONCACAF Cup,0.0
categorical__tournament_CONCACAF Ch q & Car Ch,0.0
categorical__tournament_CONCACAF Ch & Car Ch q,0.0
categorical__tournament_Copa America qualifier,0.0
categorical__tournament_Copa Paz del Chaco,0.0
categorical__tournament_Caribbean Championship,0.0
categorical__tournament_European Nations League B,0.0
categorical__tournament_European Nations League,0.0
categorical__tournament_East Asian Championship qual,0.0
categorical__tournament_European Championship,0.0
categorical__tournament_East Asian Championship,0.0
categorical__tournament_European Nations League C,0.0
categorical__tournament_Friendly tournament,0.0
categorical__tournament_Gulf Cup,0.0
categorical__tournament_Oceania Nations Cup,0.0
categorical__tournament_N Am Ch q & UNCAF Cup,0.0
categorical__tournament_King's Cup,0.0
categorical__tournament_Intercontinental Champ,0.0
categorical__tournament_West Asian Championship,0.0
categorical__tournament_Pan Arab Games,0.0
categorical__tournament_World Cup and African Cup qual,0.0
categorical__tournament_World Cup,0.0
