feature,importance
numeric__team_b_avg_goal_diff_last10,486
numeric__team_a_h2h_avg_goals,475
numeric__team_b_h2h_avg_goals,469
numeric__avg_goal_diff_diff_last10,438
numeric__avg_goals_conceded_diff_last10,419
numeric__team_a_avg_goal_diff_last10,416
numeric__points_per_match_diff_last10,394
numeric__avg_goals_scored_diff_last10,382
numeric__team_a_avg_goals_scored_last10,379
numeric__team_b_avg_goals_conceded_last10,379
numeric__h2h_matches,343
numeric__team_b_avg_goals_scored_last10,330
numeric__team_b_h2h_win_rate,294
numeric__h2h_draw_rate,290
numeric__team_a_avg_goals_conceded_last10,285
numeric__team_b_points_per_match_last10,278
numeric__team_a_h2h_win_rate,266
numeric__team_a_points_per_match_last10,223
numeric__team_a_points_per_match_last5,212
numeric__team_a_draw_rate_last5,172
numeric__team_b_loss_rate_last10,171
numeric__team_b_draw_rate_last10,164
numeric__team_a_draw_rate_last10,162
numeric__win_rate_diff_last10,142
numeric__team_a_loss_rate_last10,138
numeric__team_b_points_per_match_last5,136
numeric__team_a_win_rate_last5,114
numeric__neutral,106
numeric__team_b_loss_rate_last5,104
numeric__team_a_loss_rate_last5,102
numeric__team_a_win_rate_last10,99
numeric__team_b_draw_rate_last5,91
numeric__team_b_matches_last10,90
numeric__team_b_win_rate_last5,68
categorical__tournament_Friendly,66
numeric__team_b_win_rate_last10,65
categorical__tournament_World Cup qualifier,53
categorical__tournament_African Nations Cup,23
categorical__tournament_Copa America,21
categorical__tournament_European Championship qual,18
categorical__tournament_COSAFA Cup,16
categorical__tournament_European Nations League A,16
categorical__tournament_Confederations Cup,15
categorical__tournament_CONCACAF Championship,14
categorical__tournament_Asian Cup,11
categorical__tournament_Arab Cup,11
categorical__tournament_World Cup and Asian Cup qual,10
categorical__tournament_European Championship,9
categorical__tournament_African Nations Cup qualifier,8
categorical__tournament_Asian Cup qualifier,8
categorical__tournament_CONCACAF Ch & Car Ch q,6
numeric__team_b_matches_last5,4
categorical__tournament_European Nations League B,4
categorical__tournament_World Cup,2
categorical__tournament_World Cup and African Cup qual,2
categorical__tournament_Friendly tournament,1
numeric__team_a_matches_last5,0
numeric__team_a_matches_last10,0
categorical__tournament_CONCACAF Nations League,0
categorical__tournament_CONCACAF Nations League A,0
categorical__tournament_CONCACAF Ch q & Car Ch PO,0
categorical__tournament_CONCACAF Ch q & C Am Cup,0
categorical__tournament_CECAFA Cup,0
categorical__tournament_Afro-Asian Cup,0
categorical__tournament_Amilcar Cabral Cup,0
categorical__tournament_CONCACAF Cup,0
categorical__tournament_CONCACAF Champ qual,0
categorical__tournament_CONCACAF Ch q & Car Ch,0
categorical__tournament_Central American Cup,0
categorical__tournament_Copa America qualifier,0
categorical__tournament_CONCACAF Nations League B,0
categorical__tournament_European Nations League,0
categorical__tournament_Copa Paz del Chaco,0
categorical__tournament_East Asian Championship,0
categorical__tournament_East Asian Championship qual,0
categorical__tournament_Caribbean Championship,0
categorical__tournament_CONCACAF Nations League q,0
categorical__tournament_European Nations League C,0
categorical__tournament_Gulf Cup,0
categorical__tournament_Oceania Nations Cup,0
categorical__tournament_N Am Ch q & UNCAF Cup,0
categorical__tournament_King's Cup,0
categorical__tournament_Intercontinental Champ,0
categorical__tournament_West Asian Championship,0
categorical__tournament_WC q and Oce Cup,0
categorical__tournament_UNCAF Nations Cup,0
categorical__tournament_Pan Arab Games,0
