feature,importance
numeric__avg_goal_diff_diff_last10,0.2786556963300199
numeric__team_b_avg_goal_diff_last10,0.08558156178001089
numeric__team_b_avg_goals_conceded_last10,0.0699215116371475
numeric__avg_goals_conceded_diff_last10,0.0413884032547122
numeric__team_a_h2h_avg_goals,0.03586418329678186
numeric__points_per_match_diff_last10,0.03175750796405319
numeric__team_b_h2h_avg_goals,0.03017586182229244
numeric__avg_goals_scored_diff_last10,0.027016598566505665
numeric__team_b_avg_goals_scored_last10,0.024232048056300352
numeric__team_b_h2h_win_rate,0.02283935143945941
numeric__team_a_avg_goals_conceded_last10,0.022741612376256295
numeric__h2h_matches,0.02264943217705126
numeric__team_a_avg_goals_scored_last10,0.02263786108320287
numeric__team_a_avg_goal_diff_last10,0.022182235484625692
numeric__team_a_h2h_win_rate,0.021392308887206998
numeric__team_b_points_per_match_last10,0.021156097657209258
numeric__team_a_points_per_match_last10,0.018508590486476934
numeric__neutral,0.018355908472415017
numeric__team_a_points_per_match_last5,0.017451812345566472
numeric__h2h_draw_rate,0.016997569722962496
numeric__team_b_points_per_match_last5,0.01204612893356217
numeric__team_b_matches_last10,0.011613777968998247
numeric__team_a_draw_rate_last10,0.011366419710629188
numeric__team_b_draw_rate_last10,0.010571190980857419
numeric__team_a_loss_rate_last10,0.010252632768235334
numeric__win_rate_diff_last10,0.010039323950468384
numeric__team_b_loss_rate_last10,0.009996774635749318
numeric__team_a_draw_rate_last5,0.00920902051928955
numeric__team_a_loss_rate_last5,0.0064715833083195526
numeric__team_b_draw_rate_last5,0.006330510020904626
numeric__team_b_matches_last5,0.006110475998162051
numeric__team_b_loss_rate_last5,0.006055101649349065
numeric__team_a_win_rate_last10,0.005774846306280027
numeric__team_a_win_rate_last5,0.0054804267979888105
categorical__tournament_Friendly,0.004664687397257153
numeric__team_b_win_rate_last10,0.004524588991627075
categorical__tournament_World Cup qualifier,0.0037423752620137137
numeric__team_b_win_rate_last5,0.0035121383382844262
categorical__tournament_European Championship qual,0.002354201077427213
categorical__tournament_African Nations Cup qualifier,0.0013868635144470194
categorical__tournament_Copa America,0.0013292189928587764
categorical__tournament_World Cup and Asian Cup qual,0.0011396204154593727
categorical__tournament_Friendly tournament,0.0007912947398400224
categorical__tournament_European Nations League A,0.0007679431132416194
categorical__tournament_CONCACAF Championship,0.0007593267605422637
categorical__tournament_World Cup,0.0005550285009708439
categorical__tournament_Asian Cup,0.0003380777453658016
categorical__tournament_African Nations Cup,0.00028079214190483015
categorical__tournament_European Championship,0.00018346709662935652
numeric__team_a_matches_last10,0.00018222012781296009
categorical__tournament_CONCACAF Ch & Car Ch q,0.00013150014651116932
categorical__tournament_COSAFA Cup,0.00011648951001584408
categorical__tournament_Asian Cup qualifier,0.00010359600894719914
categorical__tournament_East Asian Championship,9.477833423229441e-05
categorical__tournament_World Cup and African Cup qual,4.9716568336699266e-05
categorical__tournament_Confederations Cup,4.8094070130408646e-05
categorical__tournament_Arab Cup,4.796300798081095e-05
categorical__tournament_West Asian Championship,4.443671437053749e-05
categorical__tournament_CONCACAF Ch q & Car Ch,1.198900858435821e-05
numeric__team_a_matches_last5,9.34945024689177e-06
categorical__tournament_Gulf Cup,5.876575911020824e-06
categorical__tournament_CONCACAF Nations League A,0.0
categorical__tournament_CECAFA Cup,0.0
categorical__tournament_Afro-Asian Cup,0.0
categorical__tournament_CONCACAF Nations League,0.0
categorical__tournament_CONCACAF Cup,0.0
categorical__tournament_CONCACAF Champ qual,0.0
categorical__tournament_CONCACAF Ch q & C Am Cup,0.0
categorical__tournament_CONCACAF Ch q & Car Ch PO,0.0
categorical__tournament_Amilcar Cabral Cup,0.0
categorical__tournament_CONCACAF Nations League B,0.0
categorical__tournament_European Nations League B,0.0
categorical__tournament_European Nations League,0.0
categorical__tournament_Copa Paz del Chaco,0.0
categorical__tournament_East Asian Championship qual,0.0
categorical__tournament_Caribbean Championship,0.0
categorical__tournament_CONCACAF Nations League q,0.0
categorical__tournament_Central American Cup,0.0
categorical__tournament_Copa America qualifier,0.0
categorical__tournament_Oceania Nations Cup,0.0
categorical__tournament_N Am Ch q & UNCAF Cup,0.0
categorical__tournament_King's Cup,0.0
categorical__tournament_Intercontinental Champ,0.0
categorical__tournament_European Nations League C,0.0
categorical__tournament_WC q and Oce Cup,0.0
categorical__tournament_Pan Arab Games,0.0
categorical__tournament_UNCAF Nations Cup,0.0
