model,absolute_goal_error
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,3.35921875
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,2.1379687499999998
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,2.8620312500000002
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,1.35921875
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,1.86203125
Dummy Mean Baseline,2.8620312500000002
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,2.1379687499999998
Dummy Mean Baseline,2.35921875
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,1.35921875
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,3.1379687499999998
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,1.35921875
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,1.35921875
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,3.1379687499999998
Dummy Mean Baseline,5.862031249999999
Dummy Mean Baseline,1.86203125
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,1.86203125
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,2.86203125
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,3.1379687499999998
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,2.1379687499999998
Dummy Mean Baseline,1.86203125
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,2.8620312500000002
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,5.359218749999999
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,2.35921875
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,6.13796875
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,1.35921875
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,1.64078125
Dummy Mean Baseline,2.35921875
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,0.86203125
Dummy Mean Baseline,2.64078125
Dummy Mean Baseline,2.86203125
Dummy Mean Baseline,1.13796875
Dummy Mean Baseline,1.35921875
Dummy Mean Baseline,0.3592187499999999
Dummy Mean Baseline,1.13796875
