group,date,team_a,team_b,pred_team_a_goals,pred_team_b_goals,predicted_goal_diff_abs,predicted_total_goals,confidence_score,favorite,predicted_winner,upset_candidate,match
Group F,2026-06-14,Netherlands,Japan,2.02967942931233,0.7014214168184634,1.3282580124938665,2.7311008461307935,1.3282580124938665,Japan,Netherlands,True,Netherlands vs Japan
Group C,2026-06-13,Brazil,Morocco,1.9782172339409099,0.6534695082071066,1.3247477257338032,2.6316867421480166,1.3247477257338032,Morocco,Brazil,True,Brazil vs Morocco
Group K,2026-06-27,Colombia,Portugal,1.9403854259379456,0.7221945801364784,1.2181908458014672,2.662580006074424,1.2181908458014672,Portugal,Colombia,True,Colombia vs Portugal
Group I,2026-06-22,Norway,Senegal,1.746658732814202,0.7610488381803786,0.9856098946338234,2.5077075709945804,0.9856098946338234,Senegal,Norway,True,Norway vs Senegal
Group H,2026-06-15,Saudi Arabia,Uruguay,1.6405237147473957,0.6863345883941566,0.954189126353239,2.3268583031415524,0.954189126353239,Uruguay,Saudi Arabia,True,Saudi Arabia vs Uruguay
Group J,2026-06-27,Algeria,Austria,1.6231851910002275,0.6842543811711224,0.9389308098291052,2.30743957217135,0.9389308098291052,Austria,Algeria,True,Algeria vs Austria
Group A,2026-06-24,South Africa,Korea Republic,1.6684528079164942,0.7407528810910129,0.9276999268254813,2.409205689007507,0.9276999268254813,Korea Republic,South Africa,True,South Africa vs Korea Republic
Group I,2026-06-26,Norway,France,1.7635613759256255,0.8442452069941585,0.919316168931467,2.607806582919784,0.919316168931467,France,Norway,True,Norway vs France
Group D,2026-06-25,Paraguay,Australia,1.6237682635311068,0.7343814718534863,0.8893867916776205,2.3581497353845933,0.8893867916776205,Australia,Paraguay,True,Paraguay vs Australia
Group H,2026-06-21,Uruguay,Cabo Verde,1.5351048691113287,0.6931323785102877,0.841972490601041,2.2282372476216166,0.841972490601041,Cabo Verde,Uruguay,True,Uruguay vs Cabo Verde
Group E,2026-06-25,Curaçao,Côte d'Ivoire,1.5717119050874664,0.7323273271972871,0.8393845778901793,2.3040392322847536,0.8393845778901793,Côte d'Ivoire,Curaçao,True,Curaçao vs Côte d'Ivoire
Group C,2026-06-19,Scotland,Morocco,1.5178323638529627,0.6788102792822689,0.8390220845706938,2.1966426431352315,0.8390220845706938,Morocco,Scotland,True,Scotland vs Morocco
Group C,2026-06-13,Haiti,Scotland,1.54265999009993,0.7180065624052331,0.824653427694697,2.260666552505163,0.824653427694697,Scotland,Haiti,True,Haiti vs Scotland
Group L,2026-06-17,Ghana,Panama,1.5803371226700085,0.7742336450570143,0.8061034776129942,2.3545707677270227,0.8061034776129942,Panama,Ghana,True,Ghana vs Panama
Group K,2026-06-17,Uzbekistan,Colombia,1.5941332760126912,0.806809392256703,0.7873238837559882,2.400942668269394,0.7873238837559882,Colombia,Uzbekistan,True,Uzbekistan vs Colombia
Group F,2026-06-25,Tunisia,Netherlands,1.5212383367954736,0.7552645281291378,0.7659738086663358,2.2765028649246113,0.7659738086663358,Netherlands,Tunisia,True,Tunisia vs Netherlands
Group L,2026-06-23,Panama,Croatia,1.5717119050874664,0.8211154297837566,0.7505964753037098,2.392827334871223,0.7505964753037098,Croatia,Panama,True,Panama vs Croatia
Group J,2026-06-22,Jordan,Algeria,1.5127739474802027,0.775443236240298,0.7373307112399047,2.2882171837205005,0.7373307112399047,Algeria,Jordan,True,Jordan vs Algeria
Group K,2026-06-27,Congo DR/Jamaica/New Caledonia,Uzbekistan,1.3740571131326533,0.6442287139398598,0.7298283991927935,2.0182858270725132,0.7298283991927935,Uzbekistan,Congo DR/Jamaica/New Caledonia,True,Congo DR/Jamaica/New Caledonia vs Uzbekistan
Group B,2026-06-13,Qatar,Switzerland,1.3968318521492187,0.7240743305977404,0.6727575215514783,2.120906182746959,0.6727575215514783,Switzerland,Qatar,True,Qatar vs Switzerland
