team,matches,avg_goals_for,avg_goals_against,avg_goal_diff,avg_points,win_rate,draw_rate,loss_rate
Spain,255,2.3176470588235296,0.7137254901960784,1.603921568627451,2.3254901960784315,0.7137254901960784,0.1843137254901961,0.10196078431372549
Brazil,258,2.0775193798449614,0.686046511627907,1.3914728682170543,2.193798449612403,0.6627906976744186,0.2054263565891473,0.13178294573643412
Argentina,255,1.9411764705882353,0.7647058823529411,1.1764705882352942,2.1333333333333333,0.6392156862745098,0.21568627450980393,0.1450980392156863
England,233,2.0686695278969958,0.7296137339055794,1.3390557939914163,2.0815450643776825,0.6223175965665236,0.2145922746781116,0.1630901287553648
IR Iran,250,1.876,0.684,1.192,2.072,0.612,0.236,0.152
France,249,1.8514056224899598,0.8353413654618473,1.0160642570281124,2.036144578313253,0.606425702811245,0.21686746987951808,0.17670682730923695
Germany,250,2.312,1.048,1.264,2.032,0.608,0.208,0.184
Portugal,242,2.0578512396694215,0.8264462809917356,1.2314049586776858,2.020661157024793,0.5950413223140496,0.23553719008264462,0.16942148760330578
Netherlands,235,2.1404255319148935,0.9319148936170213,1.2085106382978723,2.008510638297872,0.6,0.20851063829787234,0.19148936170212766
Japan,280,2.075,0.8678571428571429,1.207142857142857,1.9928571428571429,0.5964285714285714,0.20357142857142857,0.2
Morocco,227,1.7048458149779735,0.6387665198237885,1.066079295154185,1.9779735682819384,0.5770925110132159,0.24669603524229075,0.1762114537444934
Belgium,218,2.123853211009174,1.0137614678899083,1.110091743119266,1.9587155963302751,0.5871559633027523,0.19724770642201836,0.21559633027522937
Senegal,214,1.6168224299065421,0.7850467289719626,0.8317757009345794,1.9532710280373833,0.5560747663551402,0.2850467289719626,0.1588785046728972
Egypt,247,1.7004048582995952,0.8218623481781376,0.8785425101214575,1.951417004048583,0.5789473684210527,0.2145748987854251,0.20647773279352227
Algeria,222,1.8693693693693694,0.9234234234234234,0.9459459459459459,1.9504504504504505,0.581081081081081,0.2072072072072072,0.21171171171171171
Côte d'Ivoire,234,1.7393162393162394,0.8547008547008547,0.8846153846153846,1.9273504273504274,0.5555555555555556,0.2606837606837607,0.18376068376068377
Croatia,225,1.7422222222222221,0.9911111111111112,0.7511111111111111,1.9022222222222223,0.5555555555555556,0.23555555555555555,0.2088888888888889
Mexico,349,1.66189111747851,0.9312320916905444,0.7306590257879656,1.8825214899713467,0.5558739255014327,0.2148997134670487,0.22922636103151864
Korea Republic,270,1.6185185185185185,0.9185185185185185,0.7,1.837037037037037,0.5296296296296297,0.24814814814814815,0.2222222222222222
USA,320,1.79375,1.053125,0.740625,1.80625,0.540625,0.184375,0.275
Colombia,231,1.4891774891774892,0.8484848484848485,0.6406926406926406,1.7965367965367964,0.5108225108225108,0.26406926406926406,0.22510822510822512
Australia,218,1.738532110091743,0.9357798165137615,0.8027522935779816,1.7889908256880733,0.5229357798165137,0.22018348623853212,0.25688073394495414
Tunisia,240,1.4875,0.8833333333333333,0.6041666666666666,1.7166666666666666,0.4791666666666667,0.2791666666666667,0.24166666666666667
Switzerland,212,1.6839622641509433,1.0518867924528301,0.6320754716981132,1.7028301886792452,0.47641509433962265,0.27358490566037735,0.25
Uruguay,233,1.5793991416309012,0.9957081545064378,0.5836909871244635,1.6952789699570816,0.4721030042918455,0.27896995708154504,0.24892703862660945
South Africa,283,1.3074204946996466,0.7915194346289752,0.5159010600706714,1.6713780918727916,0.4416961130742049,0.3462897526501767,0.21201413427561838
Uzbekistan,232,1.521551724137931,0.9827586206896551,0.5387931034482759,1.6637931034482758,0.4870689655172414,0.2025862068965517,0.3103448275862069
Norway,191,1.612565445026178,1.0837696335078535,0.5287958115183246,1.643979057591623,0.47643979057591623,0.21465968586387435,0.3089005235602094
Austria,197,1.5786802030456852,1.1776649746192893,0.4010152284263959,1.583756345177665,0.4619289340101523,0.19796954314720813,0.3401015228426396
Saudi Arabia,287,1.372822299651568,1.0104529616724738,0.3623693379790941,1.578397212543554,0.445993031358885,0.24041811846689895,0.313588850174216
Ghana,230,1.4173913043478261,1.0,0.41739130434782606,1.5739130434782609,0.4391304347826087,0.2565217391304348,0.30434782608695654
Canada,203,1.5960591133004927,1.0246305418719213,0.5714285714285714,1.5714285714285714,0.43842364532019706,0.2561576354679803,0.3054187192118227
Cabo Verde,149,1.2348993288590604,0.9798657718120806,0.2550335570469799,1.570469798657718,0.436241610738255,0.26174496644295303,0.30201342281879195
Qatar,317,1.4574132492113565,1.167192429022082,0.2902208201892745,1.523659305993691,0.42586750788643535,0.24605678233438485,0.3280757097791798
Scotland,180,1.3444444444444446,1.2555555555555555,0.08888888888888889,1.5166666666666666,0.4444444444444444,0.18333333333333332,0.37222222222222223
Haiti,187,1.6149732620320856,1.2941176470588236,0.32085561497326204,1.4598930481283423,0.4117647058823529,0.22459893048128343,0.36363636363636365
Panama,283,1.3356890459363957,1.2120141342756183,0.12367491166077739,1.459363957597173,0.4028268551236749,0.2508833922261484,0.3462897526501767
Jordan,288,1.3993055555555556,1.0868055555555556,0.3125,1.4513888888888888,0.3888888888888889,0.2847222222222222,0.3263888888888889
Ecuador,221,1.3619909502262444,1.1447963800904977,0.2171945701357466,1.420814479638009,0.3755656108597285,0.29411764705882354,0.33031674208144796
Curaçao,123,1.8130081300813008,1.3495934959349594,0.4634146341463415,1.3739837398373984,0.37398373983739835,0.25203252032520324,0.37398373983739835
New Zealand,134,1.4477611940298507,1.2238805970149254,0.22388059701492538,1.373134328358209,0.3880597014925373,0.208955223880597,0.40298507462686567
French Guiana,9,1.8888888888888888,1.7777777777777777,0.1111111111111111,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Antigua and Barbuda,11,1.3636363636363635,1.5454545454545454,-0.18181818181818182,1.2727272727272727,0.36363636363636365,0.18181818181818182,0.45454545454545453
Italy,108,1.1666666666666667,1.3240740740740742,-0.1574074074074074,1.2685185185185186,0.3055555555555556,0.35185185185185186,0.3425925925925926
Paraguay,221,1.0542986425339367,1.239819004524887,-0.18552036199095023,1.2081447963800904,0.3031674208144796,0.2986425339366516,0.39819004524886875
Chile,160,1.1125,1.34375,-0.23125,1.20625,0.30625,0.2875,0.40625
Denmark,77,1.155844155844156,1.3116883116883118,-0.15584415584415584,1.1948051948051948,0.3246753246753247,0.22077922077922077,0.45454545454545453
Bahrain,94,0.9148936170212766,1.3936170212765957,-0.4787234042553192,1.1808510638297873,0.30851063829787234,0.2553191489361702,0.43617021276595747
Türkiye,68,1.25,1.75,-0.5,1.1470588235294117,0.29411764705882354,0.2647058823529412,0.4411764705882353
Nigeria,88,1.0454545454545454,1.2386363636363635,-0.19318181818181818,1.125,0.25,0.375,0.375
Peru,140,0.8214285714285714,1.292857142857143,-0.4714285714285714,1.0857142857142856,0.2714285714285714,0.2714285714285714,0.45714285714285713
Sweden,79,1.3037974683544304,1.7468354430379747,-0.4430379746835443,1.0759493670886076,0.3037974683544304,0.16455696202531644,0.5316455696202531
Serbia,76,1.0789473684210527,1.394736842105263,-0.3157894736842105,1.0657894736842106,0.27631578947368424,0.23684210526315788,0.4868421052631579
Greece,54,0.9629629629629629,1.4074074074074074,-0.4444444444444444,1.0555555555555556,0.2777777777777778,0.2222222222222222,0.5
Ukraine,64,1.0,1.640625,-0.640625,1.046875,0.25,0.296875,0.453125
Cameroon,76,0.9605263157894737,1.3421052631578947,-0.3815789473684211,1.0394736842105263,0.25,0.2894736842105263,0.4605263157894737
Gabon,39,1.0256410256410255,1.5897435897435896,-0.5641025641025641,1.0256410256410255,0.23076923076923078,0.3333333333333333,0.4358974358974359
Czechia,60,1.0666666666666667,1.6166666666666667,-0.55,1.0166666666666666,0.26666666666666666,0.21666666666666667,0.5166666666666667
Russia,65,1.123076923076923,1.4615384615384615,-0.3384615384615385,1.0153846153846153,0.23076923076923078,0.3230769230769231,0.4461538461538462
Poland,73,1.0410958904109588,1.5068493150684932,-0.4657534246575342,1.0,0.2054794520547945,0.3835616438356164,0.410958904109589
Zambia,67,0.9552238805970149,1.5671641791044777,-0.6119402985074627,1.0,0.26865671641791045,0.19402985074626866,0.5373134328358209
Ireland,69,0.8985507246376812,1.434782608695652,-0.5362318840579711,0.9855072463768116,0.2318840579710145,0.2898550724637681,0.4782608695652174
Venezuela,131,0.8931297709923665,1.4809160305343512,-0.5877862595419847,0.9770992366412213,0.20610687022900764,0.35877862595419846,0.4351145038167939
Honduras,126,0.873015873015873,1.6111111111111112,-0.7380952380952381,0.9682539682539683,0.24603174603174602,0.23015873015873015,0.5238095238095238
Costa Rica,150,0.88,1.4733333333333334,-0.5933333333333334,0.96,0.22,0.3,0.48
Iraq,109,0.7247706422018348,1.275229357798165,-0.5504587155963303,0.9541284403669725,0.22935779816513763,0.26605504587155965,0.5045871559633027
Oman,95,0.7368421052631579,1.3473684210526315,-0.6105263157894737,0.9368421052631579,0.2,0.3368421052631579,0.4631578947368421
Burkina Faso,52,0.8461538461538461,1.4615384615384615,-0.6153846153846154,0.9038461538461539,0.21153846153846154,0.2692307692307692,0.5192307692307693
Suriname,19,1.1578947368421053,1.7894736842105263,-0.631578947368421,0.8947368421052632,0.15789473684210525,0.42105263157894735,0.42105263157894735
Slovakia,47,0.851063829787234,1.5957446808510638,-0.7446808510638298,0.8936170212765957,0.23404255319148937,0.19148936170212766,0.574468085106383
Syria,60,0.7166666666666667,1.4666666666666666,-0.75,0.8833333333333333,0.2,0.2833333333333333,0.5166666666666667
Guinea,50,1.1,1.96,-0.86,0.88,0.2,0.28,0.52
United Arab Emirates,87,0.8505747126436781,1.4942528735632183,-0.6436781609195402,0.8735632183908046,0.21839080459770116,0.21839080459770116,0.5632183908045977
Wales,63,0.9523809523809523,1.5873015873015872,-0.6349206349206349,0.873015873015873,0.20634920634920634,0.25396825396825395,0.5396825396825397
Slovenia,54,0.7962962962962963,1.3148148148148149,-0.5185185185185185,0.8703703703703703,0.2037037037037037,0.25925925925925924,0.5370370370370371
Gambia,30,0.6333333333333333,1.6,-0.9666666666666667,0.8666666666666667,0.2,0.26666666666666666,0.5333333333333333
Belarus,43,0.7674418604651163,1.8837209302325582,-1.1162790697674418,0.8604651162790697,0.23255813953488372,0.16279069767441862,0.6046511627906976
Sierra Leone,27,0.7407407407407407,1.7407407407407407,-1.0,0.8518518518518519,0.14814814814814814,0.4074074074074074,0.4444444444444444
China,99,0.8080808080808081,1.5757575757575757,-0.7676767676767676,0.8484848484848485,0.18181818181818182,0.30303030303030304,0.5151515151515151
Kuwait,65,0.7538461538461538,1.6,-0.8461538461538461,0.8307692307692308,0.16923076923076924,0.3230769230769231,0.5076923076923077
Jamaica,98,0.826530612244898,1.7346938775510203,-0.9081632653061225,0.826530612244898,0.20408163265306123,0.21428571428571427,0.5816326530612245
Bosnia and Herzegovina,61,0.9672131147540983,1.8852459016393444,-0.9180327868852459,0.819672131147541,0.19672131147540983,0.22950819672131148,0.5737704918032787
Guadeloupe,14,1.0,2.0714285714285716,-1.0714285714285714,0.7857142857142857,0.21428571428571427,0.14285714285714285,0.6428571428571429
Mali,64,0.828125,1.296875,-0.46875,0.78125,0.15625,0.3125,0.53125
Trinidad and Tobago,68,0.7205882352941176,1.9705882352941178,-1.25,0.7794117647058824,0.19117647058823528,0.20588235294117646,0.6029411764705882
Albania,40,0.625,1.6,-0.975,0.775,0.2,0.175,0.625
Comoros,21,0.7142857142857143,1.7142857142857142,-1.0,0.7619047619047619,0.19047619047619047,0.19047619047619047,0.6190476190476191
Georgia,42,0.7619047619047619,1.7142857142857142,-0.9523809523809523,0.7619047619047619,0.19047619047619047,0.19047619047619047,0.6190476190476191
Romania,46,0.7608695652173914,1.6521739130434783,-0.8913043478260869,0.7608695652173914,0.15217391304347827,0.30434782608695654,0.5434782608695652
