team_a,team_b,date,tournament,neutral,team_a_matches_last5,team_b_matches_last5,team_a_win_rate_last5,team_b_win_rate_last5,team_a_draw_rate_last5,team_b_draw_rate_last5,team_a_loss_rate_last5,team_b_loss_rate_last5,team_a_points_per_match_last5,team_b_points_per_match_last5,team_a_matches_last10,team_b_matches_last10,team_a_win_rate_last10,team_b_win_rate_last10,team_a_draw_rate_last10,team_b_draw_rate_last10,team_a_loss_rate_last10,team_b_loss_rate_last10,team_a_avg_goals_scored_last10,team_b_avg_goals_scored_last10,team_a_avg_goals_conceded_last10,team_b_avg_goals_conceded_last10,team_a_avg_goal_diff_last10,team_b_avg_goal_diff_last10,team_a_points_per_match_last10,team_b_points_per_match_last10,win_rate_diff_last10,points_per_match_diff_last10,avg_goals_scored_diff_last10,avg_goals_conceded_diff_last10,avg_goal_diff_diff_last10,h2h_matches,team_a_h2h_win_rate,team_b_h2h_win_rate,h2h_draw_rate,team_a_h2h_avg_goals,team_b_h2h_avg_goals,match_no,stage,group,venue,city,country
Mexico,South Africa,2026-06-11,FIFA World Cup 2026,True,5,5,0.6,0.2,0.4,0.6,0.0,0.2,2.2,1.2,10,10,0.6,0.4,0.3,0.3,0.1,0.3,1.6,1.3,0.4,1.1,1.2,0.2,2.1,1.5,0.19999999999999996,0.6000000000000001,0.30000000000000004,-0.7000000000000001,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,1.6666666666666667,Match 1,,Group A,Mexico City Stadium,,
Korea Republic,Czechia/Denmark/North Macedonia/Republic of Ireland,2026-06-11,FIFA World Cup 2026,True,5,0,0.6,0.0,0.0,0.0,0.4,0.0,1.8,0.0,10,0,0.6,0.0,0.1,0.0,0.3,0.0,1.5,0.0,1.2,0.0,0.3,0.0,1.9,0.0,0.6,1.9,1.5,1.2,0.3,0,0.0,0.0,0.0,0.0,0.0,Match 2,,Group A,Estadio Guadalajara,,
Canada,Bosnia and Herzegovina/Italy/Northern Ireland/Wales,2026-06-12,FIFA World Cup 2026,True,5,0,0.4,0.0,0.6,0.0,0.0,0.0,1.8,0.0,10,0,0.4,0.0,0.5,0.0,0.1,0.0,0.9,0.0,0.4,0.0,0.5,0.0,1.7,0.0,0.4,1.7,0.9,0.4,0.5,0,0.0,0.0,0.0,0.0,0.0,Match 3,,Group B,Toronto Stadium,,
USA,Paraguay,2026-06-12,FIFA World Cup 2026,True,5,5,0.4,0.6,0.0,0.0,0.6,0.4,1.2,1.8,10,10,0.5,0.4,0.1,0.2,0.4,0.4,1.8,1.2,1.7,1.0,0.1,0.2,1.6,1.4,0.09999999999999998,0.20000000000000018,0.6000000000000001,0.7,-0.1,8,0.5,0.25,0.25,1.125,0.875,Match 4,,Group D,Los Angeles Stadium,,
Haiti,Scotland,2026-06-13,FIFA World Cup 2026,True,5,5,0.4,0.6,0.2,0.0,0.4,0.4,1.4,1.8,10,10,0.4,0.6,0.3,0.1,0.3,0.3,1.5,2.1,1.0,1.0,0.5,1.1,1.5,1.9,-0.19999999999999996,-0.3999999999999999,-0.6000000000000001,0.0,-0.6000000000000001,0,0.0,0.0,0.0,0.0,0.0,Match 5,,Group C,Boston Stadium,,
Australia,Kosovo/Romania/Slovakia/Türkiye,2026-06-13,FIFA World Cup 2026,True,5,0,0.4,0.0,0.2,0.0,0.4,0.0,1.4,0.0,10,0,0.5,0.0,0.1,0.0,0.4,0.0,1.3,0.0,1.0,0.0,0.3,0.0,1.6,0.0,0.5,1.6,1.3,1.0,0.3,0,0.0,0.0,0.0,0.0,0.0,Match 6,,Group D,BC Place Vancouver,,
Brazil,Morocco,2026-06-13,FIFA World Cup 2026,True,5,5,0.6,0.6,0.2,0.4,0.2,0.0,2.0,2.2,10,10,0.6,0.6,0.1,0.3,0.3,0.1,2.5,1.9,1.1,0.4,1.4,1.5,1.9,2.1,0.0,-0.20000000000000018,0.6000000000000001,0.7000000000000001,-0.10000000000000009,3,0.6666666666666666,0.3333333333333333,0.0,2.0,0.6666666666666666,Match 7,,Group C,New York New Jersey Stadium,,
Qatar,Switzerland,2026-06-13,FIFA World Cup 2026,True,5,5,0.0,0.2,0.4,0.6,0.6,0.2,0.4,1.2,10,10,0.1,0.5,0.4,0.4,0.5,0.1,0.7,2.2,1.5,0.8,-0.8,1.4,0.7,1.9,-0.4,-1.2,-1.5000000000000002,0.7,-2.2,1,1.0,0.0,0.0,1.0,0.0,Match 8,,Group B,San Francisco Bay Area Stadium,,
Côte d'Ivoire,Ecuador,2026-06-14,FIFA World Cup 2026,True,5,5,0.8,0.6,0.0,0.4,0.2,0.0,2.4,2.2,10,10,0.7,0.4,0.1,0.6,0.2,0.0,1.9,1.2,0.8,0.5,1.1,0.7,2.2,1.8,0.29999999999999993,0.40000000000000013,0.7,0.30000000000000004,0.40000000000000013,0,0.0,0.0,0.0,0.0,0.0,Match 9,,Group E,Philadelphia Stadium,,
Germany,Curaçao,2026-06-14,FIFA World Cup 2026,True,5,5,1.0,0.2,0.0,0.2,0.0,0.6,3.0,0.8,10,10,0.9,0.4,0.0,0.3,0.1,0.3,2.8,1.9,0.8,1.4,2.0,0.5,2.7,1.5,0.5,1.2000000000000002,0.8999999999999999,-0.5999999999999999,1.5,0,0.0,0.0,0.0,0.0,0.0,Match 10,,Group E,Houston Stadium,,
