feature,importance
numeric__neutral,0.08593377204447443
numeric__avg_goal_diff_diff_last10,0.07362047978903297
numeric__points_per_match_diff_last10,0.05261450620093958
numeric__avg_goals_conceded_diff_last10,0.047081963589005967
numeric__avg_goals_scored_diff_last10,0.04500353742980313
numeric__team_b_avg_goal_diff_last10,0.042143848773879534
numeric__team_b_h2h_avg_goals,0.04059032134972058
numeric__team_a_avg_goal_diff_last10,0.04055978958702797
numeric__win_rate_diff_last10,0.033936252356314325
numeric__team_a_h2h_win_rate,0.03255748781332554
numeric__team_a_points_per_match_last10,0.03128185399002994
numeric__team_a_h2h_avg_goals,0.03119985864609292
numeric__team_a_avg_goals_conceded_last10,0.03044419799173679
numeric__team_b_points_per_match_last10,0.028566044283812306
numeric__team_b_h2h_win_rate,0.02855169500976748
numeric__team_b_avg_goals_scored_last10,0.028354061827444686
numeric__team_b_avg_goals_conceded_last10,0.027183664924834847
numeric__team_a_avg_goals_scored_last10,0.02544096590933406
numeric__h2h_matches,0.0237528265202925
numeric__team_a_loss_rate_last10,0.020920543571180613
numeric__h2h_draw_rate,0.0207304928262748
numeric__team_b_points_per_match_last5,0.020125395060658136
numeric__team_a_points_per_match_last5,0.01934198342175792
numeric__team_b_win_rate_last10,0.01900688497499735
numeric__team_a_win_rate_last10,0.01767856263650796
numeric__team_b_loss_rate_last10,0.016415609259718272
numeric__team_a_draw_rate_last10,0.013882132149902228
numeric__team_b_draw_rate_last10,0.013812277376676677
numeric__team_a_loss_rate_last5,0.012577331766042373
numeric__team_a_win_rate_last5,0.012043784850287094
numeric__team_b_win_rate_last5,0.010421847162404834
numeric__team_a_draw_rate_last5,0.0102059209747932
numeric__team_b_loss_rate_last5,0.010107087206411337
numeric__team_b_draw_rate_last5,0.009051284877636406
categorical__tournament_Friendly,0.005921022130575092
categorical__tournament_World Cup qualifier,0.005066240189895429
categorical__tournament_European Championship qual,0.002199053782747243
categorical__tournament_African Nations Cup,0.0021534051468692205
categorical__tournament_World Cup,0.0019022345369880207
categorical__tournament_African Nations Cup qualifier,0.0017155747823864205
categorical__tournament_Copa America,0.0009145966518544936
numeric__team_b_matches_last10,0.0008584134103558868
categorical__tournament_European Nations League A,0.0006852832244850722
numeric__team_a_matches_last10,0.0005666626961076928
categorical__tournament_CONCACAF Championship,0.0005422722810046336
categorical__tournament_Friendly tournament,0.0004949638035673004
categorical__tournament_European Championship,0.00041166318937241455
categorical__tournament_Asian Cup,0.0002776507823984747
categorical__tournament_World Cup and African Cup qual,0.0001798503414083376
numeric__team_b_matches_last5,0.00016676666919100122
numeric__team_a_matches_last5,0.00016631074016161337
categorical__tournament_World Cup and Asian Cup qual,0.00013552165550173847
categorical__tournament_COSAFA Cup,0.00010557556581345562
categorical__tournament_West Asian Championship,7.548821731262823e-05
categorical__tournament_Confederations Cup,7.092162528640742e-05
categorical__tournament_CONCACAF Nations League A,6.805726976726207e-05
categorical__tournament_Asian Cup qualifier,6.323152205350591e-05
categorical__tournament_CONCACAF Ch & Car Ch q,6.0243856234658634e-05
categorical__tournament_Gulf Cup,3.162244071562173e-05
categorical__tournament_Pan Arab Games,9.726914756580255e-06
categorical__tournament_European Nations League B,8.84849962026799e-06
categorical__tournament_East Asian Championship,6.952802345694831e-06
categorical__tournament_WC q and Oce Cup,3.579119105132408e-06
categorical__tournament_Amilcar Cabral Cup,0.0
categorical__tournament_Arab Cup,0.0
categorical__tournament_CONCACAF Ch q & Car Ch PO,0.0
categorical__tournament_CONCACAF Champ qual,0.0
categorical__tournament_CONCACAF Ch q & Car Ch,0.0
categorical__tournament_CONCACAF Ch q & C Am Cup,0.0
categorical__tournament_Afro-Asian Cup,0.0
categorical__tournament_CECAFA Cup,0.0
categorical__tournament_CONCACAF Nations League,0.0
categorical__tournament_CONCACAF Cup,0.0
categorical__tournament_Copa Paz del Chaco,0.0
categorical__tournament_CONCACAF Nations League B,0.0
categorical__tournament_Caribbean Championship,0.0
categorical__tournament_CONCACAF Nations League q,0.0
categorical__tournament_Central American Cup,0.0
categorical__tournament_Copa America qualifier,0.0
categorical__tournament_European Nations League,0.0
categorical__tournament_East Asian Championship qual,0.0
categorical__tournament_Oceania Nations Cup,0.0
categorical__tournament_Intercontinental Champ,0.0
categorical__tournament_European Nations League C,0.0
categorical__tournament_N Am Ch q & UNCAF Cup,0.0
categorical__tournament_King's Cup,0.0
categorical__tournament_UNCAF Nations Cup,0.0
